Frame,Lighting,Key Light Position,Lighting Ratio,Shadow Intensity,Color Temperature,Contrast Ratio,Glare Detection
157,High-Key,Front Light,Key-to-Fill Ratio: 26.59:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
158,High-Key,Front Light,Key-to-Fill Ratio: 26.64:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
159,High-Key,Front Light,Key-to-Fill Ratio: 26.58:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
160,High-Key,Front Light,Key-to-Fill Ratio: 26.62:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
161,High-Key,Front Light,Key-to-Fill Ratio: 26.63:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
162,High-Key,Front Light,Key-to-Fill Ratio: 26.68:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
163,Silhouette,Front Light,Key-to-Fill Ratio: 26.72:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
164,Silhouette,Front Light,Key-to-Fill Ratio: 26.72:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
165,High-Key,Front Light,Key-to-Fill Ratio: 26.75:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
166,High-Key,Front Light,Key-to-Fill Ratio: 26.78:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
167,High-Key,Front Light,Key-to-Fill Ratio: 26.73:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
168,High-Key,Front Light,Key-to-Fill Ratio: 26.8:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
169,High-Key,Front Light,Key-to-Fill Ratio: 26.81:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
170,High-Key,Front Light,Key-to-Fill Ratio: 26.79:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
171,High-Key,Front Light,Key-to-Fill Ratio: 26.84:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
172,High-Key,Front Light,Key-to-Fill Ratio: 26.84:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
173,High-Key,Front Light,Key-to-Fill Ratio: 26.92:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
174,High-Key,Front Light,Key-to-Fill Ratio: 26.93:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
175,High-Key,Front Light,Key-to-Fill Ratio: 27.0:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
176,High-Key,Front Light,Key-to-Fill Ratio: 27.03:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
177,High-Key,Front Light,Key-to-Fill Ratio: 27.01:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
178,High-Key,Front Light,Key-to-Fill Ratio: 27.06:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
179,High-Key,Front Light,Key-to-Fill Ratio: 27.13:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
180,Silhouette,Front Light,Key-to-Fill Ratio: 27.64:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
181,Silhouette,Front Light,Key-to-Fill Ratio: 27.48:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
182,Silhouette,Front Light,Key-to-Fill Ratio: 27.42:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
183,Silhouette,Front Light,Key-to-Fill Ratio: 27.43:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
184,High-Key,Front Light,Key-to-Fill Ratio: 27.45:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
185,High-Key,Front Light,Key-to-Fill Ratio: 27.42:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
186,High-Key,Front Light,Key-to-Fill Ratio: 27.46:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
187,High-Key,Front Light,Key-to-Fill Ratio: 27.52:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
188,High-Key,Front Light,Key-to-Fill Ratio: 27.53:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
189,High-Key,Front Light,Key-to-Fill Ratio: 27.55:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
