Frame,Angle,Level
535,Medium Shot,Dutch Tilt
536,Medium Shot,Dutch Tilt
537,Medium Shot,Dutch Tilt
538,Medium Shot,Eye Level
539,Medium Shot,Eye Level
540,Medium Shot,Eye Level
541,Medium Shot,Eye Level
542,Medium Shot,Eye Level
543,Medium Shot,Dutch Tilt
544,Medium Shot,Dutch Tilt
545,Medium Shot,Eye Level
546,Medium Shot,Eye Level
547,Medium Shot,Eye Level
548,Medium Shot,High Angle
549,Medium Shot,Eye Level
550,Medium Shot,Eye Level
551,Medium Shot,Eye Level
552,Medium Shot,Eye Level
553,Medium Shot,Eye Level
554,Medium Shot,Eye Level
555,Medium Shot,Eye Level
556,Medium Shot,Eye Level
557,Medium Shot,Eye Level
558,Medium Shot,Eye Level
559,Medium Shot,Eye Level
560,Medium Shot,Eye Level
561,Medium Shot,Eye Level
562,Medium Shot,Eye Level
563,Medium Shot,Eye Level
564,Medium Shot,Eye Level
565,Close-up,High Angle
566,Close-up,High Angle
567,Close-up,High Angle
568,Close-up,High Angle
569,Close-up,High Angle
570,Close-up,High Angle
571,Close-up,High Angle
572,Close-up,High Angle
573,Close-up,High Angle
574,Close-up,High Angle
575,Close-up,High Angle
576,Close-up,High Angle
577,Close-up,High Angle
578,Close-up,High Angle
579,Close-up,High Angle
580,Close-up,High Angle
581,Close-up,High Angle
582,Close-up,High Angle
583,Close-up,High Angle
584,Close-up,High Angle
585,Close-up,High Angle
586,Close-up,High Angle
587,Close-up,High Angle
588,Close-up,High Angle
589,Close-up,High Angle
590,Close-up,High Angle
591,Close-up,High Angle
592,Close-up,High Angle
593,Close-up,High Angle
594,Close-up,High Angle
595,Close-up,High Angle
596,Close-up,High Angle
597,Close-up,High Angle
598,Close-up,High Angle
599,Close-up,High Angle
600,Close-up,High Angle
601,Close-up,High Angle
602,Close-up,High Angle
603,Close-up,High Angle
604,Close-up,High Angle
605,Close-up,High Angle
606,Close-up,High Angle
607,Close-up,High Angle
608,Close-up,High Angle
609,Close-up,High Angle
610,Close-up,High Angle
611,Close-up,High Angle
612,Close-up,High Angle
613,Close-up,High Angle
614,Close-up,High Angle
615,Close-up,High Angle
616,Close-up,High Angle
617,Close-up,High Angle
618,Close-up,High Angle
619,Close-up,High Angle
620,Close-up,High Angle
621,Close-up,High Angle
622,Close-up,High Angle
623,Close-up,High Angle
624,Close-up,High Angle
625,Close-up,Eye Level
626,Close-up,Eye Level
627,Close-up,Eye Level
628,Close-up,Eye Level
629,Close-up,Eye Level
630,Close-up,Eye Level
631,Close-up,Eye Level
632,Close-up,Eye Level
633,Close-up,Eye Level
634,Close-up,Eye Level
635,Close-up,High Angle
636,Close-up,High Angle
637,Close-up,High Angle
638,Close-up,High Angle
639,Close-up,High Angle
640,Close-up,High Angle
641,Close-up,High Angle
642,Close-up,High Angle
643,Close-up,High Angle
644,Close-up,High Angle
645,Close-up,High Angle
646,Close-up,High Angle
647,Medium Shot,High Angle
648,Medium Shot,High Angle
649,Medium Shot,High Angle
650,Close-up,High Angle
651,Medium Shot,High Angle
652,Medium Shot,High Angle
653,Close-up,High Angle
654,Medium Shot,High Angle
655,Over-the-Shoulder,High Angle
656,Close-up,High Angle
657,Close-up,High Angle
658,Close-up,High Angle
659,Close-up,High Angle
660,Close-up,High Angle
661,Close-up,High Angle
662,Close-up,High Angle
663,Close-up,High Angle
664,Close-up,High Angle
665,Close-up,High Angle
666,Medium Shot,Bird's Eye View
667,Medium Shot,Bird's Eye View
668,Medium Shot,High Angle
669,Medium Shot,Dutch Tilt
670,Medium Shot,Dutch Tilt
671,Medium Shot,High Angle
672,Medium Shot,High Angle
673,Medium Shot,High Angle
674,Medium Shot,Worm's Eye View
675,Medium Shot,Worm's Eye View
676,Medium Shot,High Angle
677,Medium Shot,High Angle
678,Medium Shot,High Angle
679,Medium Shot,High Angle
680,Medium Shot,High Angle
681,Medium Shot,High Angle
682,Medium Shot,Worm's Eye View
683,Medium Shot,Dutch Tilt
684,Medium Shot,High Angle
685,Medium Shot,Worm's Eye View
686,Medium Shot,High Angle
687,Medium Shot,Dutch Tilt
688,Medium Shot,High Angle
689,Medium Shot,High Angle
690,Medium Shot,High Angle
691,Medium Shot,High Angle
692,Medium Shot,High Angle
693,Medium Shot,High Angle
694,Medium Shot,High Angle
695,Medium Shot,High Angle
696,Medium Shot,High Angle
697,Medium Shot,High Angle
698,Medium Shot,High Angle
699,Medium Shot,High Angle
700,Medium Shot,High Angle
701,Medium Shot,High Angle
702,Medium Shot,High Angle
703,Medium Shot,High Angle
704,Medium Shot,High Angle
705,Medium Shot,Low Angle
706,Medium Shot,Low Angle
707,Medium Shot,Low Angle
708,Medium Shot,Eye Level
709,Medium Shot,Eye Level
710,Medium Shot,Worm's Eye View
711,Medium Shot,Worm's Eye View
712,Medium Shot,Worm's Eye View
713,Medium Shot,Worm's Eye View
714,Medium Shot,Worm's Eye View
715,Medium Shot,Worm's Eye View
716,Medium Shot,Worm's Eye View
717,Medium Shot,Worm's Eye View
718,Medium Shot,Worm's Eye View
719,Medium Shot,Worm's Eye View
720,Medium Shot,Worm's Eye View
721,Medium Shot,Worm's Eye View
722,Medium Shot,Worm's Eye View
723,Medium Shot,Worm's Eye View
724,Medium Shot,Worm's Eye View
725,Medium Shot,Worm's Eye View
726,Medium Shot,Worm's Eye View
727,Medium Shot,Worm's Eye View
728,Medium Shot,Worm's Eye View
729,Medium Shot,Worm's Eye View
730,Medium Shot,Worm's Eye View
731,Medium Shot,Worm's Eye View
732,Medium Shot,Worm's Eye View
733,Medium Shot,Worm's Eye View
734,Medium Shot,Worm's Eye View
735,Medium Shot,Worm's Eye View
736,Medium Shot,Worm's Eye View
737,Medium Shot,Worm's Eye View
738,Medium Shot,Worm's Eye View
739,Medium Shot,Worm's Eye View
740,Close-up,Worm's Eye View
741,Medium Shot,Worm's Eye View
742,Medium Shot,Worm's Eye View
743,Medium Shot,Worm's Eye View
744,Medium Shot,Worm's Eye View
745,Medium Shot,Worm's Eye View
746,Medium Shot,Worm's Eye View
747,Medium Shot,Worm's Eye View
748,Medium Shot,Worm's Eye View
749,Medium Shot,Worm's Eye View
750,Medium Shot,Worm's Eye View
751,Medium Shot,Worm's Eye View
752,Close-up,Worm's Eye View
753,Medium Shot,Worm's Eye View
754,Medium Shot,Worm's Eye View
755,Close-up,Worm's Eye View
756,Close-up,Worm's Eye View
757,Close-up,Worm's Eye View
