Frame,Shot Scale
16354,Medium Shot (MS)
16378,Medium Shot (MS)
16402,Medium Shot (MS)
16426,Medium Shot (MS)
16450,Medium Shot (MS)
16474,Long Shot (LS)
16498,Close Shot (CS)
16522,Close Shot (CS)
16546,Long Shot (LS)
16570,Close Shot (CS)
16594,Medium Shot (MS)
16618,Medium Shot (MS)
16642,Medium Shot (MS)
16666,Close Shot (CS)
16690,Medium Shot (MS)
16714,Medium Shot (MS)
16738,Medium Shot (MS)
16762,Medium Shot (MS)
16786,Medium Shot (MS)
16809,Medium Shot (MS)
16833,Medium Shot (MS)
16857,Medium Shot (MS)
16881,Medium Shot (MS)
16905,Medium Shot (MS)
16929,Medium Shot (MS)
16953,Medium Shot (MS)
16977,Medium Shot (MS)
17001,Medium Shot (MS)
17025,Medium Shot (MS)
17049,Medium Shot (MS)
17073,Medium Shot (MS)
17097,Medium Shot (MS)
17121,Medium Shot (MS)
17145,Medium Shot (MS)
17169,Medium Shot (MS)
17193,Close Shot (CS)
17217,Close Shot (CS)
17241,Medium Shot (MS)
17265,Medium Shot (MS)
17289,Medium Shot (MS)
17313,Medium Shot (MS)
17337,Medium Shot (MS)
17361,Medium Shot (MS)
17385,Long Shot (LS)
17409,Medium Shot (MS)
17433,Medium Shot (MS)
17457,Medium Shot (MS)
17481,Close Shot (CS)
17505,Close Shot (CS)
17529,Close Shot (CS)
17553,Close Shot (CS)
17577,Close Shot (CS)
17601,Close Shot (CS)
17625,Close Shot (CS)
17649,Close Shot (CS)
17673,Close Shot (CS)
17697,Close Shot (CS)
17721,Close Shot (CS)
17745,Medium Shot (MS)
17769,Medium Shot (MS)
17793,Medium Shot (MS)
17817,Medium Shot (MS)
17841,Long Shot (LS)
17865,Long Shot (LS)
17889,Long Shot (LS)
17913,Long Shot (LS)
17937,Long Shot (LS)
17961,Long Shot (LS)
17985,Long Shot (LS)
18008,Long Shot (LS)
18032,Long Shot (LS)
18056,Long Shot (LS)
18080,Long Shot (LS)
18104,Close Shot (CS)
18128,Close Shot (CS)
18152,Close Shot (CS)
18176,Long Shot (LS)
18200,Close Shot (CS)
18224,Medium Shot (MS)
18248,Close Shot (CS)
18272,Long Shot (LS)
18296,Close Shot (CS)
18320,Medium Shot (MS)
18344,Close Shot (CS)
18368,Close Shot (CS)
18392,Medium Shot (MS)
18416,Medium Shot (MS)
18440,Medium Shot (MS)
18464,Medium Shot (MS)
18488,Medium Shot (MS)
18512,Medium Shot (MS)
18536,Medium Shot (MS)
18560,Medium Shot (MS)
18584,Medium Shot (MS)
18608,Close Shot (CS)
18632,Close Shot (CS)
18656,Close Shot (CS)
18680,Long Shot (LS)
18704,Long Shot (LS)
18728,Close Shot (CS)
18752,Long Shot (LS)
18776,Long Shot (LS)
18800,Close Shot (CS)
18824,Close Shot (CS)
18848,Close Shot (CS)
18872,Close Shot (CS)
18896,Close Shot (CS)
18920,Close Shot (CS)
18944,Medium Shot (MS)
18968,Medium Shot (MS)
18992,Medium Shot (MS)
19016,Medium Shot (MS)
19040,Medium Shot (MS)
19064,Medium Shot (MS)
19088,Medium Shot (MS)
19112,Medium Shot (MS)
19136,Medium Shot (MS)
19160,Medium Shot (MS)
19184,Medium Shot (MS)
19207,Medium Shot (MS)
19231,Medium Shot (MS)
19255,Medium Shot (MS)
19279,Close Shot (CS)
19303,Close Shot (CS)
19327,Long Shot (LS)
19351,Close Shot (CS)
19375,Long Shot (LS)
19399,Close Shot (CS)
19423,Close Shot (CS)
